house_name,sale_status,house_type,house_address,house_price
佳年华新生活,在售,底商,温江/花都大道/江安路518号,25000
星岛星时区,在售,商业,金堂/金堂/三星镇学府大道279号,12000
东城国际(崇州),在售,底商,崇州/崇州/江源中路99号,24000
康怡城邦,在售,住宅,崇州/崇州/道明镇白塔湖大道159号,6500
世玺,在售,住宅,新都/新都城区/新繁镇滨江西路北侧,6900
佳兆业丽晶公馆,在售,底商,温江/花都大道/光华大道同兴东路,28000
满座,在售,底商,双流/东升镇/双流东升镇一杆旗北路29号,27000
香月湖,在售,底商,高新/新会展/益州大道中段699号（天府一街与天府二街之间）,53000
隆鑫十里画卷,在售,底商,双流/东升镇/东升镇银河路8号（双流县图书馆旁）,20000
西派城,在售,底商,武侯/簇桥/簇锦街办铁佛村3、8组(武侯大道铁佛段与金履路交汇处),36000
御青城,在售,别墅,都江堰/都江堰/大观镇高尔夫大街369号,15000
西城尚锦,在售,底商,青羊/外光华/光华东三路588号,40000
中港CCPARK,在售,商业类,锦江/东湖/东二环与琉璃路交汇处,15000
同森锦熙,在售,底商,郫都/红光/红光镇广场路（技师学院对面）,25000
同森锦熙,在售,商业,郫都/红光/红光镇广场路（技师学院对面）,35000
兰博中心,在售,商业类,青羊/人民公园/人民南路一段126号,50000
金沙城锦澜阁,在售,商业类,青羊/外金沙/百瑞二路338号,15500
碧桂园中环荟,在售,商业类,成华/八里小区/成华区八里庄路168号,13500
远大聚华天府之南,在售,住宅,天府新区南区/仁寿/213国道天府大道交汇处北100米,13000
融创玖阙府一期,在售,底商,成华/动物园/熊猫大道融创玖阙府一期,26000
源滩国际社区,在售,商业类,成华/理工大/华林一路158号,15000
雄飞新园名都,在售,底商,高新/市一医院/新园大道8号,30000
远洋朗基国宾御府,在售,住宅,金牛/国宾/郫都区犀浦镇金樽三街151号（新里派克公馆对面）,15500
滨江天樾,在售,商业类,天府新区/华阳/益州大道与伏龙北巷交汇处,14500
蓝光coco金沙二期,在售,底商,青羊/外金沙/清源三路169号,27000
卧龙谷壹号,在售,住宅,龙泉驿/大面/东四环·卧龙谷,16200
桂溪欧苑,在售,别墅,郫都/郫县城区/友爱镇平安路6号（成灌高速石家桥出口500米）,12000
和雅嘉御,在售,商业类,高新/芳草/永丰路7号（衣冠庙地铁口B出口）,25000
幸福公社二期,在售,住宅,大邑/大邑/青霞镇分水2组12号,11980
海上海北苑,在售,底商,成华/成渝立交/和美东路221 号,30000
青龙广场,在售,写字楼,成华/动物园/东丽街与东紫路交汇处（动物园东大门）,9800
星岛星时区,在售,住宅,金堂/金堂/三星镇学府大道279号,7000
龙湖小院青城,在售,别墅,都江堰/都江堰/成都市都江堰市青城山镇大三路2号,180
海洋中心,在售,商业类,高新/新会展/天府三街吉泰路588号,18642
港泰通航大厦,在售,商业类,金牛/通惠门/十二桥路29号,32500
香月湖,在售,商业类,高新/新会展/益州大道中段699号（天府一街与天府二街之间）,28000
红树湾,在售,住宅,高新/中和/中和大道二段69号,20000
蜀镇,在售,住宅,双流/蛟龙港/草金路西100米（永康森林公园旁、江安河畔）,12000
成华奥园广场二期,在售,底商,成华/万年场/跳蹬河南路18号,45000
青霞山水卡伦德拉小镇,在售,住宅,大邑/大邑/分水社区1组88号,10000
花样年美年广场,在售,商业类,高新/新会展/天府大道中段1388号,30000
创想大厦,在售,商业类,新都/新都城区/兴城大道1955号,8700
中冶中央公园,在售,底商,郫都/郫县城区/郫筒镇梨园路一段708号,25000
世玺,在售,别墅,新都/新都城区/新繁镇滨江西路北侧,10000
COSMO天廊,在售,商业类,锦江/沙河堡/上沙河铺街66号,25000
蓝光T-max,在售,商业类,双流/航空港/黄河中路二段388号,14000
蓝光青城河谷国际度假区,在售,住宅,都江堰/都江堰/聚青路169号,12000
